FCD Primary Pillar,FCD Sub-domain,Existing indicator?,"If yes, source (i.e. FSD, SDGs, etc.)","If partial match, list related indicator",Indicator name,Lead,in progress,Definition (what the indicator measures),Relevance (why it matters for the project),Unit of measurement,Available Hanoi,Available Addis,Geographic coverage,Data source,Method (calculation or derivation),Years available,Update frequency,Limitations,Responsible researcher,Notes,
Drivers,Environment and climate change,,,,Drought frequency,,,Measures the historical frequency of drought events aggregated by the standardised SPEI categories for drought stress,This indicator helps the user to identify which production regions are most susceptible to extreme drought conditions. ,months,1,0,National,Internally producted from ERA5-Land,Application of standard SPEI categorisation and reduction at commune level spatially and to number of months since 1980 spent in each classification.,1980-2026,Could generate new data monthly,,Jemima O'Farrell,,
Drivers,Income growth and distribution,,,,Average monthly income per capita,Minh ,,Measures average monthly income per capita as an indicator of household economic capacity to access food.,"This indicator helps assess household and regional financial capacity, which shapes food access, adaptive capacity, and resilience to market shocks.",VND,1,0,City,"VHLSS, GSO",,,,,,,
Drivers,Income growth and distribution,,,,Gross Regional Domestic Product (GRDP) per capita,Minh ,,Measures Gross Regional Domestic Product (GRDP) per capita within the Hanoi resilience indicator framework (Million VND).,"This indicator helps assess household and regional financial capacity, which shapes food access, adaptive capacity, and resilience to market shocks.",Million VND,1,0,City,HSO,,,,,,,
Drivers,Socio-cultural Context,1,FSD,,Literacy rate,,,Measures literacy attainment among people aged 15 years and older.,This indicator captures human-capital conditions that affect households' ability to absorb shocks and maintain food security outcomes.,Percentage,1,0,City,GSO,,,,,,,
Drivers,Socio-cultural Context,,,,Rate of trained labour,Minh ,,"Measures the share of the labour force with technical, vocational, or higher-level qualifications.",This indicator captures human-capital conditions that affect households' ability to absorb shocks and maintain food security outcomes.,Percentage,1,0,City,GSO,,,,,,,
Drivers,Income growth and distribution,1,SDG,"11.1.1 measures the proportion of the urban population living in slums, informal settlements, or inadequate housing","Semi-permanent, less permanent and simple housing as percentage of total housing",,,"Measures the share of housing stock classified as semi-permanent, less permanent, or simple structures.",This indicator contributes to assessment of food-system resilience by tracking a core structural or performance dimension over time.,Percentage,1,0,City,VHLSS,,,,,,,
Drivers,Population growth and migration,1,FSD,,Total population,,,"Measures total population size, used as a baseline exposure and demand indicator for food-system planning.",This indicator contributes to assessment of food-system resilience by tracking a core structural or performance dimension over time.,,1,0,City,HSO,,,,,,,
Drivers,Globalization and trade,Partial ,FSD,Fish import quantitiy,Fish import rate,Minh ,,"Measures the Fish import dependency rate, expressed as the share of total supply sourced from imports.","This indicator captures exposure to external market risks and import concentration, informing vulnerability to price and trade disruptions.",Ratio,1,0,City,"WITS, GSO",,,,,,,
Drivers,Globalization and trade,,,,Fish self-sufficiency rate,Minh ,,"Measures the degree of Fish self-sufficiency, expressed as the share of local demand that can be met by domestic production.","This indicator captures local food supply strength and diversification, which are central to reducing vulnerability to disruptions.",Ratio,1,0,City,"GSO, HSO",,,,,,,
Drivers,Globalization and trade,,,,Fish supplier concentration (HHI for import partners),Minh ,,"Measures concentration of Fish import suppliers using the Herfindahl-Hirschman Index (HHI), where higher values indicate greater concentration risk.","This indicator captures exposure to external market risks and import concentration, informing vulnerability to price and trade disruptions.",,1,0,City,"WITS, GSO",,,,,,,
Drivers,Globalization and trade,Partial ,FSD,Meat import quantitiy,Meat import rate,Minh ,,"Measures the Meat import dependency rate, expressed as the share of total supply sourced from imports.","This indicator captures exposure to external market risks and import concentration, informing vulnerability to price and trade disruptions.",Ratio,1,0,City,"WITS, GSO",,,,,,,
Drivers,Globalization and trade,,,,Meat self-sufficiency rate,Minh ,,"Measures the degree of Meat self-sufficiency, expressed as the share of local demand that can be met by domestic production.","This indicator captures local food supply strength and diversification, which are central to reducing vulnerability to disruptions.",Ratio,1,0,City,"GSO, HSO",,,,,,,
Drivers,Globalization and trade,,,,Meat supplier concentration (HHI for import partners),Minh ,,"Measures concentration of Meat import suppliers using the Herfindahl-Hirschman Index (HHI), where higher values indicate greater concentration risk.","This indicator captures exposure to external market risks and import concentration, informing vulnerability to price and trade disruptions.",,1,0,City,"WITS, GSO",,,,,,,
Drivers,Globalization and trade,Partial ,FSD,Rice import quantitiy,Rice import rate,Minh ,,"Measures the Rice import dependency rate, expressed as the share of total supply sourced from imports.","This indicator captures exposure to external market risks and import concentration, informing vulnerability to price and trade disruptions.",Ratio,1,0,City,"WITS, GSO",,,,,,,
Drivers,Globalization and trade,,,,Rice self-sufficiency rate,Minh ,,"Measures the degree of Rice self-sufficiency, expressed as the share of local demand that can be met by domestic production.","This indicator captures local food supply strength and diversification, which are central to reducing vulnerability to disruptions.",Ratio,1,0,City,"GSO, HSO",,,,,,,
Drivers,Globalization and trade,,,,Rice supplier concentration (HHI for import partners),Minh ,,"Measures concentration of Rice import suppliers using the Herfindahl-Hirschman Index (HHI), where higher values indicate greater concentration risk.","This indicator captures exposure to external market risks and import concentration, informing vulnerability to price and trade disruptions.",,1,0,City,"WITS, GSO",,,,,,,
Drivers,Income growth and distribution,,,,Annual Growth in Gross Regional Domestic Product (GRDP),Minh ,,"Measures year-on-year Gross Regional Domestic Product (GRDP) growth, reflecting macroeconomic conditions linked to food-system resilience.","This indicator reflects macroeconomic pressure and stability, which influence food affordability and broader system resilience.",Percentage,1,0,City,HSO,,,,,,,
Food Environments,Food affordability,,,,Cost of an affordable diet,Carlos and Dawit ,In progress,Planned indicator to measure the minimum cost of a diet that meets basic energy needs at the lowest possible price.,"This indicator will help assess whether staple dietary needs can be met at a cost that is feasible for low-income households, providing a baseline measure of diet affordability.",Data not available yet,0,0,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,46
Food Environments,Food affordability,1,FSD,,Cost of a healthy diet,Carlos and Dawit ,In progress,Planned indicator to measure the cost of a diet that meets recommended nutritional requirements and to assess whether that diet is affordable for different population groups.,This indicator will support analysis of whether households can access diets that are not only sufficient in calories but also diverse and nutritionally adequate.,Data not available yet,0,0,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,47
Food Environments,Vendor properties,0,,,Healthy outlet density,Vibeth,In progress,"Maps the density of healthy food outlets within each commune, expressed relative to land area.",This indicator shows how protective food environments are distributed across the city and helps identify areas with stronger access to healthier food options.,Outlets per km2,0,0,Wards/ commune,OSM & Internal Methods,Calculated as the number of healthy outlets divided by the area (kmВІ) of each commune.,2026,Updates depend on the availability of new OpenStreetMap data and revised population estimates.,Accuracy of OpenStreetMap data,Vibeth Porras,,
Food Environments,Vendor properties,0,,,Unhealthy outlet density,Vibeth,In progress,"Maps the density of unhealthy food outlets within each commune, expressed relative to land area.",This indicator identifies areas where obesogenic food environments are concentrated and where residents may face greater exposure to unhealthy food choices.,Outlets per km2,0,0,Wards/ commune,OSM & Internal Methods,Calculated as the number of unhealthy outlets divided by the area (kmВІ) of each commune.,2026,Updates depend on the availability of new OpenStreetMap data and revised population estimates.,Accuracy of OpenStreetMap data,Vibeth Porras,,
Food Environments,Vendor properties,0,,,Mixed outlet density,Vibeth,In progress,"Maps the density of mixed food outlets within each commune, expressed relative to land area.","This indicator captures food environments where healthy and unhealthy options coexist, helping to identify more complex or mixed dietary landscapes.",Outlets per km2,0,0,Wards/ commune,OSM & Internal Methods,Calculated as the number of mixed outlets divided by the area (kmВІ) of each commune.,2026,Updates depend on the availability of new OpenStreetMap data and revised population estimates.,Accuracy of OpenStreetMap data,Vibeth Porras,,
Food Environments,Vendor properties,0,,,Obesogenic environmental risk indicator (composite index),Vibeth,In progress,"Maps the balance between unhealthy and healthy food outlets within each commune, expressed as a ratio.",This indicator summarizes the relative dominance of unhealthy versus healthy outlets and helps identify locations where the food environment may place residents under greater obesogenic pressure.,Ratio,0,0,Wards/ commune,OSM & Internal Methods,Calculated by dividing the number of unhealthy outlets by the number of healthy outlets in each commune.,2026,Updates depend on the availability of new OpenStreetMap data and revised population estimates.,Accuracy of OpenStreetMap data,Vibeth Porras,,
Food Environments,Vendor properties,0,,,Percent of population with walking/driving/public transport access to healthy food,,,"Measures the proportion of residents who live within an accessible distance of healthy food outlets, disaggregated by transportation mode, travel time and population group.",This indicator shows the share of the population with practical access to healthier food options and helps identify spatial inequalities in supportive food environments.,Pertentage of population,0,1,Wards/ commune,OSM & Internal Methods,Calculated as the proportion of the population living within the walkable buffer of healthy outlets,2026,Updates depend on the availability of new OpenStreetMap data and revised population estimates.,Accuracy of OpenStreetMap data,Vibeth Porras,,
Food Environments,Vendor properties,0,,,Percent of population with walking/driving/public transport access to unhealthy food,,,"Measures the proportion of residents who live within an accesible distance of unhealthy food outlets, disaggregated by transportation mode, travel time and population group.",This indicator captures the extent of population exposure to unhealthy food environments and helps identify areas where obesogenic food access is widespread.,Pertentage of population,0,1,Wards/ commune,OSM & Internal Methods,Calculated as the proportion of the population living within the walkable buffer of unhealthy outlets,2026,Updates depend on the availability of new OpenStreetMap data and revised population estimates.,Accuracy of OpenStreetMap data,Vibeth Porras,,
Food Environments,Food safety,,,,Food poisoning incident frequency,,In progress,Measures the number of recorded food poisoning cases.,"This indicator captures the food safety dimension of the food system by reflecting failures in food handling, storage, processing, or regulation that affect safe access to food.",Number,0,0,City,MoH,,2012-2020,Annually,,Ky Hoang,,
Food Environments,Vendor properties,1,"FSD, SDGs",,Number of vendors,,,Measures and maps the distribution of formal food vendors and outlets in the reporting area.,"This indicator reflects food supply-chain infrastructure and performance, supporting analysis of system robustness and continuity under stress.",,1,1,City,GSO,,,,,,,
Food Environments,Food affordability,,,,Food Consumer Price Index (CPI) Year-on-Year change,,,"Measures year-on-year change in the Food Consumer Price Index (CPI), indicating inflationary pressure in food markets.","This indicator reflects macroeconomic pressure and stability, which influence food affordability and broader system resilience.",Percentage,1,0,City,HSO,,,,,,,
Food Supply Chains,Storage and distribution,,,,Produce flow estimations from rural to urban areas,Minh,In progress,"Estimates the annual flow of rice from producing regions in Vietnam to Hanoi, including rural and urban consumption, expressed in tonnes per year.",This indicator helps quantify Hanoi's dependence on external staple supply and identifies the regional production linkages that underpin urban food security and vulnerability to supply disruption.,"Tonnes/year, (%)",1,0,"Vietnam, Hanoi",General Statistics Office of Vietnam (GSO). (2023),"В Trade attractiveness method, including two steps as follows: A) Estimation of Rice Net Supply (Consumption вЂ“ Production) for every province, based on Consumption (Population * Consumption per person), and Production (Paddy production/Live weight/Raw production * Conversion rate). B) Distribute the rice consumption of Hanoi, considering:В Province Production, National Production, and International Import.",2010 - 2022,TBD,"Based on estimations, depending on consumption trends ",Carlos Rodriguez,,
Food Supply Chains,Processing and packaging,,,,Life cycle assessment of food items,Shamilah (possibility to break down into individual indicators?),In progress,Estimates the environmental footprint of selected food items using life cycle assessment methods.,This indicator supports analysis of sustainable diets by showing how different foods compare in terms of environmental impact across the supply chain.,various,0,1,,EcoInvent,,,,,Shamilah Nassozi,,
Food Supply Chains,Production systems and input supply,1,FSD,,Fishery production,,,Measures total fishery production volume in the reporting period.,"This indicator captures local food supply strength and diversification, which are central to reducing vulnerability to disruptions.",tons,1,0,City,"GSO, HSO",,,,,,,
Food Supply Chains,Production systems and input supply,,0,,Meat production,,,Measures total meat production volume in the reporting period.,"This indicator captures local food supply strength and diversification, which are central to reducing vulnerability to disruptions.",tons,1,0,City,"GSO, HSO",,,,,,,
Food Supply Chains,Production systems and input supply,,,,Number of cows,,,Measures livestock stock levels for the specified animal category in the reporting period.,"This indicator captures local food supply strength and diversification, which are central to reducing vulnerability to disruptions.",,1,0,City,"GSO, HSO",,,,,,,
Food Supply Chains,Production systems and input supply,,,,Number of pigs,,,Measures livestock stock levels for the specified animal category in the reporting period.,"This indicator captures local food supply strength and diversification, which are central to reducing vulnerability to disruptions.",,1,0,City,"GSO, HSO",,,,,,,
Food Supply Chains,Production systems and input supply,,,,Number of poultry,,,Measures livestock stock levels for the specified animal category in the reporting period.,"This indicator captures local food supply strength and diversification, which are central to reducing vulnerability to disruptions.",,1,0,City,"GSO, HSO",,,,,,,
Food Supply Chains,Production systems and input supply,Yes,FSD,Rice: Historical production,Paddy production,,,Measures total paddy production volume in the reporting period.,"This indicator captures local food supply strength and diversification, which are central to reducing vulnerability to disruptions.",tons,1,0,City,"GSO, HSO",,,,,,,
Food Supply Chains,Storage and distribution,,,,Post-harvest lost rate,,,Measures the proportion of food production lost after harvest and before final consumption.,"This indicator reflects food supply-chain infrastructure and performance, supporting analysis of system robustness and continuity under stress.",Percentage,1,0,City,HSO,,,,,,,
Food Supply Chains,Production systems and input supply,,,,Diesel price,,,"Measures the observed diesel price level, used as a proxy for transport and supply-chain operating costs.","This indicator reflects macroeconomic pressure and stability, which influence food affordability and broader system resilience.",VND,1,0,City,Petrolimex,,,,,,,
Food Supply Chains,Production systems and input supply,,,,Diesel price change,,,Measures year-on-year change in diesel prices as a proxy for transport and logistics cost pressure in the food system.,"This indicator reflects macroeconomic pressure and stability, which influence food affordability and broader system resilience.",Percentage,1,0,City,Petrolimex,,,,,,,
Food Supply Chains,Production systems and input supply,1,FSD,,Cropland area (ha),,,Maps distribution of cropland at national scale aggregated at commune level ,This data allows the user to filter to high production regions when analysising for vulnerabilities in the production landscape.,hectares,1,0,National,ESRI,,2025,Annually,,Jemima O'Farrell,,
Food Supply Chains,Production systems and input supply,1,ICID,"Framework developed jointly by the International Commission on Irrigation & Drainage (ICID), FAO, World Bank, and IWMI",Water delivery infrastructure (length),Jemima,In progress,"Maps irrigation canals, draingage ditches and captures length of infrastructure in km aggregated to commune level",This data enables the identification of areas lacking infastructure for agricultural intensificiation,km,0,0,National,OSM,,2026,,,Jemima O'Farrell,,
Food Supply Chains,Production systems and input supply,,FAOSTAT,,Harvested Area by Crop Type,Jemima,In progress,Displays the spatial distribution of the production landscape for a range of staple crops in high-resolution maps and estimates total growing area per crop at commune level,"This indicator captures the distribution of agricultural production for planning sustainable dietary transitions steered towards national production, reducing reliance of inported goods",hectares,0,0,National,Internally produced,Under development,2020,,,Jemima O'Farrell,,
Food Supply Chains,Production systems and input supply,1,FSD,,Shannon Diversity Index (SDI),Jemima,In progress,"The Shannon diversity index reflects how many different types of foods (crops and livestock) are produced in a certain country, and how evenly these different types are distributed. This indicator identifies the diversity of crops in a country without regard for the nutrient content of each crop. The indicator is scaled from 0 to 1, with 0 representing no diversity and 1 representing the maximum amount of diversity observed.","In low-income countries, production of more diverse foods contributes to more diverse food availability in national food environments. In middle-income and high-income countries, international trade and income are stronger predictors than national production.",,0,0,National,Internally produced,,,,,,,
Individual Factors,Economic,1,FSD,,Percent of household consumption spent on food and beverages (all households),Carlos,In progress,"Measures the percentage of total household expenditure allocated to food purchases, indicating the income share spent on food.","This indicator is a key measure of food affordability and household economic access to food. It reflects whether households must allocate disproportionate resources to food, constraining spending on other essential needs such as health, education, or housing.",Percentage (%),0,0,City,Vietnam Household Living Standards Survey (VHLSS) / General Statistics Office (GSO)  // Socio-Economic Panel Survey 2021-2022Data file: cons_agg_w5.dta,Calculated as (Total food expenditure / Total household expenditure) Г— 100,2010-2022,Every 2-4 years depending on survey cycle,Based on household survey data; may not capture informal sector spending or informal food transactions,Jemima O'Farrell,Available for Hanoi and Addis Ababa city and national scale,72
