#,Affordable diets,Sustainable diets,Healthier diets,Pillars by FSD,FSD Sub-domain,FCD Primary Pillar,FCD Sub-domain,SDGs? (Y/N),Pillars by FSCI,Domain / Sub-theme,Indicator name,in progress,Definition (what the indicator measures),Relevance (why it matters for the project),Unit of measurement,Available Hanoi,Available Addis,Geographic coverage,Data source,Method (calculation or derivation),Years available,Update frequency,Limitations,Responsible researcher,Notes
31,,x,,Drivers,"Biophysical, climate & environment",Drivers,Environment and climate change,,Resilience,Resilience,Water storage anomalies,,"Measures anomalies in total terrestrial water storage, including groundwater, surface water, and soil moisture, relative to expected seasonal conditions.",This indicator is important for understanding water-related constraints on agricultural production and for identifying regions where water stress may undermine food system resilience.,mm ,1,0,National ,Internally produced from GRACE/GRACE-FO mission,Calculated by removing the climatology and seasonality from the signal to reveal only anomalies from the usual seasonal water cycle.,2002-2026,Can only update when CSR updates ,Coarse resolution ,Jemima O'Farrell,
,,x,,Drivers,"Biophysical, climate & environment",Drivers,Environment and climate change,,"Environment, Natural Resources & Production",Resilience,Land-use & land-cover distribution,,"Measures the percentage of district area occupied by different land-cover categories, from aquaculture and cropland to urban land and forest cover.",This indicator helps identify where urban and peri-urban production or other land-cover assets may buffer the food system against supply shocks and support broader resilience planning.,%,1,0,City,JAXA,Area reducer applied to LULC masks,2020,,LULC product hasn't been updated since 2020,Jemima O'Farrell,
,,,,,,Drivers,Environment and climate change,,,,Historical frequency of drought events,,Measures the historical frequency of drought events aggregated by the standardised SPEI categories for drought stress,This indicator helps the user to identify which production regions are most susceptible to extreme drought conditions. ,months,1,0,National,Internally producted from ERA5-Land,Application of standard SPEI categorisation and reduction at commune level spatially and to number of months since 1980 spent in each classification.,1980-2026,Could generate new data monthly,,Jemima O'Farrell,
,,,x,Drivers,"Biophysical, climate & environment",Drivers,Environment and climate change,,Governance,Food Safety,Water & air quality,In progress,"Planned indicator covering environmental quality dimensions relevant to food systems, including water and air quality.","This indicator is intended to capture environmental conditions that shape food production, food safety, and public health, and will be developed further as data availability is confirmed.",TBC,0,0,TBC,TBC,TBC,TBC,TBC,TBC,TBC,
35,,x,,Drivers,Income growth & distribution,Drivers,Income growth and distribution,,Resilience,Resilience,Average monthly income per capita,,Measures average monthly income per capita as an indicator of household economic capacity to access food.,"This indicator helps assess household and regional financial capacity, which shapes food access, adaptive capacity, and resilience to market shocks.",VND,1,0,City,"VHLSS, GSO",,,,,,
37,,x,,Drivers,Income growth & distribution,Drivers,Income growth and distribution,,Resilience,Resilience,Gross Regional Domestic Product (GRDP) per capita,,Measures Gross Regional Domestic Product (GRDP) per capita within the Hanoi resilience indicator framework (Million VND).,"This indicator helps assess household and regional financial capacity, which shapes food access, adaptive capacity, and resilience to market shocks.",Million VND,1,0,City,HSO,,,,,,
40,,x,,Drivers,"Population growth, migration & conflict",Drivers,Socio-cultural Context,,Resilience,Resilience,Literacy rate,,Measures literacy attainment among people aged 15 years and older.,This indicator captures human-capital conditions that affect households' ability to absorb shocks and maintain food security outcomes.,Percentage,1,0,City,GSO,,,,,,
42,,x,,Drivers,"Population growth, migration & conflict",Drivers,Socio-cultural Context,,Resilience,Resilience,Rate of trained labour,,"Measures the share of the labour force with technical, vocational, or higher-level qualifications.",This indicator captures human-capital conditions that affect households' ability to absorb shocks and maintain food security outcomes.,Percentage,1,0,City,GSO,,,,,,
44,,x,,Drivers,"Population growth, migration & conflict",Drivers,Income growth and distribution,,Resilience,Resilience,"Semi-permanent, less permanent and simple housing as percentage of total housing",,"Measures the share of housing stock classified as semi-permanent, less permanent, or simple structures.",This indicator contributes to assessment of food-system resilience by tracking a core structural or performance dimension over time.,Percentage,1,0,City,VHLSS,,,,,,
46,,x,,Drivers,"Population growth, migration & conflict",Drivers,Population growth and migration,,Resilience,Resilience,Total population,,"Measures total population size, used as a baseline exposure and demand indicator for food-system planning.",This indicator contributes to assessment of food-system resilience by tracking a core structural or performance dimension over time.,,1,0,City,HSO,,,,,,
47,,x,,Food Supply Chains,"Retail, markets & waste",Drivers,Globalization and trade,,Resilience,Resilience,Fish import quantity,,"Measures the Fish import dependency rate, expressed as the share of total supply sourced from imports.","This indicator captures exposure to external market risks and import concentration, informing vulnerability to price and trade disruptions.",Ratio,1,0,City,"WITS, GSO",,,,,,
48,,x,,Food Supply Chains,"Retail, markets & waste",Drivers,Globalization and trade,,Resilience,Resilience,Fish self-sufficiency rate,,"Measures the degree of Fish self-sufficiency, expressed as the share of local demand that can be met by domestic production.","This indicator captures local food supply strength and diversification, which are central to reducing vulnerability to disruptions.",Ratio,1,0,City,"GSO, HSO",,,,,,
49,,x,,Food Supply Chains,"Retail, markets & waste",Drivers,Globalization and trade,,Resilience,Resilience,Fish supplier concentration (HHI for import partners),,"Measures concentration of Fish import suppliers using the Herfindahl-Hirschman Index (HHI), where higher values indicate greater concentration risk.","This indicator captures exposure to external market risks and import concentration, informing vulnerability to price and trade disruptions.",,1,0,City,"WITS, GSO",,,,,,
51,,x,,Food Supply Chains,"Retail, markets & waste",Drivers,Globalization and trade,,Resilience,Resilience,Meat import rate,,"Measures the Meat import dependency rate, expressed as the share of total supply sourced from imports.","This indicator captures exposure to external market risks and import concentration, informing vulnerability to price and trade disruptions.",Ratio,1,0,City,"WITS, GSO",,,,,,
53,,x,,Food Supply Chains,"Retail, markets & waste",Drivers,Globalization and trade,,Resilience,Resilience,Meat self-sufficiency rate,,"Measures the degree of Meat self-sufficiency, expressed as the share of local demand that can be met by domestic production.","This indicator captures local food supply strength and diversification, which are central to reducing vulnerability to disruptions.",Ratio,1,0,City,"GSO, HSO",,,,,,
54,,x,,Food Supply Chains,"Retail, markets & waste",Drivers,Globalization and trade,,Resilience,Resilience,Meat supplier concentration (HHI for import partners),,"Measures concentration of Meat import suppliers using the Herfindahl-Hirschman Index (HHI), where higher values indicate greater concentration risk.","This indicator captures exposure to external market risks and import concentration, informing vulnerability to price and trade disruptions.",,1,0,City,"WITS, GSO",,,,,,
62,,x,,Food Supply Chains,"Retail, markets & waste",Drivers,Globalization and trade,,Resilience,Resilience,Rice import rate,,"Measures the Rice import dependency rate, expressed as the share of total supply sourced from imports.","This indicator captures exposure to external market risks and import concentration, informing vulnerability to price and trade disruptions.",Ratio,1,0,City,"WITS, GSO",,,,,,
63,,x,,Food Supply Chains,"Retail, markets & waste",Drivers,Globalization and trade,,Resilience,Resilience,Rice self-sufficiency rate,,"Measures the degree of Rice self-sufficiency, expressed as the share of local demand that can be met by domestic production.","This indicator captures local food supply strength and diversification, which are central to reducing vulnerability to disruptions.",Ratio,1,0,City,"GSO, HSO",,,,,,
64,,x,,Food Supply Chains,"Retail, markets & waste",Drivers,Globalization and trade,,Resilience,Resilience,Rice supplier concentration (HHI for import partners),,"Measures concentration of Rice import suppliers using the Herfindahl-Hirschman Index (HHI), where higher values indicate greater concentration risk.","This indicator captures exposure to external market risks and import concentration, informing vulnerability to price and trade disruptions.",,1,0,City,"WITS, GSO",,,,,,
70,,x,,Drivers,Income growth & distribution,Drivers,Income growth and distribution,,Resilience,Resilience,Annual Growth in Gross Regional Domestic Product (GRDP),,"Measures year-on-year Gross Regional Domestic Product (GRDP) growth, reflecting macroeconomic conditions linked to food-system resilience.","This indicator reflects macroeconomic pressure and stability, which influence food affordability and broader system resilience.",Percentage,1,0,City,HSO,,,,,,
7,x,,,Food Environments,"Food affordability – food prices, income & expenditures",Food Environments,Food affordability,,"Diets, Nutrition & Health",Food Environments,Cost of an affordable diet,,Planned indicator to measure the minimum cost of a diet that meets basic energy needs at the lowest possible price.,"This indicator will help assess whether staple dietary needs can be met at a cost that is feasible for low-income households, providing a baseline measure of diet affordability.",Data not available yet,0,0,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet
8,x,,,Food Environments,"Food affordability – food prices, income & expenditures",Food Environments,Food affordability,,"Diets, Nutrition & Health",Food Environments,Cost of a healthy diet,,Planned indicator to measure the cost of a diet that meets recommended nutritional requirements and to assess whether that diet is affordable for different population groups.,This indicator will support analysis of whether households can access diets that are not only sufficient in calories but also diverse and nutritionally adequate.,Data not available yet,0,0,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet
12,,,x,Food Environments,"Vendor properties – location, type & density of retail outlets",Food Environments,Vendor properties,,"Diets, Nutrition & Health",Food Environments,Healthy outlet density,,"Maps the density of healthy food outlets within each commune, expressed relative to land area.",This indicator shows how protective food environments are distributed across the city and helps identify areas with stronger access to healthier food options.,Outlets per km2,1,1,Wards/ commune,OSM & Internal Methods,Calculated as the number of healthy outlets divided by the area (kmÂ²) of each commune.,2026,Updates depend on the availability of new OpenStreetMap data and revised population estimates.,Accuracy of OpenStreetMap data,Vibeth Porras,
13,,,x,Food Environments,"Vendor properties – location, type & density of retail outlets",Food Environments,Vendor properties,,"Diets, Nutrition & Health",Food Environments,Unhealthy outlet density,,"Maps the density of unhealthy food outlets within each commune, expressed relative to land area.",This indicator identifies areas where obesogenic food environments are concentrated and where residents may face greater exposure to unhealthy food choices.,Outlets per km2,1,1,Wards/ commune,OSM & Internal Methods,Calculated as the number of unhealthy outlets divided by the area (kmÂ²) of each commune.,2026,Updates depend on the availability of new OpenStreetMap data and revised population estimates.,Accuracy of OpenStreetMap data,Vibeth Porras,
14,,,x,Food Environments,"Vendor properties – location, type & density of retail outlets",Food Environments,Vendor properties,,"Diets, Nutrition & Health",Food Environments,Mixed outlet density,,"Maps the density of mixed food outlets within each commune, expressed relative to land area.","This indicator captures food environments where healthy and unhealthy options coexist, helping to identify more complex or mixed dietary landscapes.",Outlets per km2,1,1,Wards/ commune,OSM & Internal Methods,Calculated as the number of mixed outlets divided by the area (kmÂ²) of each commune.,2026,Updates depend on the availability of new OpenStreetMap data and revised population estimates.,Accuracy of OpenStreetMap data,Vibeth Porras,
15,x,,x,Food Environments,"Vendor properties – location, type & density of retail outlets",Food Environments,Vendor properties,,"Diets, Nutrition & Health",Food Environments,Obesogenic environmental risk indicator,In progress,"Maps the balance between unhealthy and healthy food outlets within each commune, expressed as a ratio.",This indicator summarizes the relative dominance of unhealthy versus healthy outlets and helps identify locations where the food environment may place residents under greater obesogenic pressure.,Ratio,1,1,Wards/ commune,OSM & Internal Methods,Calculated by dividing the number of unhealthy outlets by the number of healthy outlets in each commune.,2026,Updates depend on the availability of new OpenStreetMap data and revised population estimates.,Accuracy of OpenStreetMap data,Vibeth Porras,
16,x,,x,Food Environments,"Vendor properties – location, type & density of retail outlets",Food Environments,Vendor properties,,"Diets, Nutrition & Health",Food Environments,Percent of population with access to healthy food,,"Measures the proportion of residents who live within an accessible distance of healthy food outlets, disaggregated by transportation mode, travel time and population group.",This indicator shows the share of the population with practical access to healthier food options and helps identify spatial inequalities in supportive food environments.,Pertentage of population,0,1,Wards/ commune,OSM & Internal Methods,Calculated as the proportion of the population living within the walkable buffer of healthy outlets,2026,Updates depend on the availability of new OpenStreetMap data and revised population estimates.,Accuracy of OpenStreetMap data,Vibeth Porras,
17,x,,x,Food Environments,"Vendor properties – location, type & density of retail outlets",Food Environments,Vendor properties,,"Diets, Nutrition & Health",Food Environments,Percent of population with access to unhealthy food,,"Measures the proportion of residents who live within an accesible distance of unhealthy food outlets, disaggregated by transportation mode, travel time and population group.",This indicator captures the extent of population exposure to unhealthy food environments and helps identify areas where obesogenic food access is widespread.,Pertentage of population,0,1,Wards/ commune,OSM & Internal Methods,Calculated as the proportion of the population living within the walkable buffer of unhealthy outlets,2026,Updates depend on the availability of new OpenStreetMap data and revised population estimates.,Accuracy of OpenStreetMap data,Vibeth Porras,
34,,,x,Outcomes,Food security,Food Environments,Food safety,,"Diets, Nutrition & Health",Food Safety,Food poisoning incident frequency,,Measures the number of recorded food poisoning cases.,"This indicator captures the food safety dimension of the food system by reflecting failures in food handling, storage, processing, or regulation that affect safe access to food.",Number,0,0,City,MoH,,2012-2020,Annually,,Ky Hoang,
66,,x,,Food Environments,"Vendor properties – location, type & density of retail outlets",Food Environments,Vendor properties,,Resilience,Resilience,Number of vendors,,Measures and maps the distribution of formal food vendors and outlets in the reporting area.,"This indicator reflects food supply-chain infrastructure and performance, supporting analysis of system robustness and continuity under stress.",,1,0,City,GSO,,,,,,
69,,x,,Food Environments,"Food affordability – food prices, income & expenditures",Food Environments,Food affordability,,Resilience,Resilience,Food Consumer Price Index (CPI) Year-on-Year change,,"Measures year-on-year change in the Food Consumer Price Index (CPI), indicating inflationary pressure in food markets.","This indicator reflects macroeconomic pressure and stability, which influence food affordability and broader system resilience.",Percentage,1,0,City,HSO,,,,,,
24,,,x,Food Supply Chains,"Retail, markets & waste",Food Supply Chains,Storage and distribution,,Governance,Food Flows & Supply Chains,Produce flow estimations from rural to urban areas,,"Estimates the annual flow of rice from producing regions in Vietnam to Hanoi, including rural and urban consumption, expressed in tonnes per year.",This indicator helps quantify Hanoi's dependence on external staple supply and identifies the regional production linkages that underpin urban food security and vulnerability to supply disruption.,"Tonnes/year, (%)",1,0,"Vietnam, Hanoi",General Statistics Office of Vietnam (GSO). (2023),"Â Trade attractiveness method, including two steps as follows: A) Estimation of Rice Net Supply (Consumption â€“ Production) for every province, based on Consumption (Population * Consumption per person), and Production (Paddy production/Live weight/Raw production * Conversion rate). B) Distribute the rice consumption of Hanoi, considering:Â Province Production, National Production, and International Import.",2010 - 2022,TBD,"Based on estimations, depending on consumption trends ",Carlos Rodriguez,
28,,,,Food Supply Chains,"Food storage, loss, distribution & transport",Food Supply Chains,Storage and distribution,,"Environment, Natural Resources & Production",Food Losses & Waste,Food Losses & Waste,In progress,Indicator under development; the definition will be refined once the data source and analytical method are finalized.,This entry is retained to reflect the current project pipeline and will support dashboard expansion once the indicator is fully specified.,In progress,0,0,In progress,In progress,In progress,In progress,In progress,In progress,In progress,
29,,x,,Food Supply Chains,Food processing & packaging,Food Supply Chains,Processing and packaging,,"Environment, Natural Resources & Production",Environmental Footprinting,Life cycle assessment of food items,,Estimates the environmental footprint of selected food items using life cycle assessment methods.,This indicator supports analysis of sustainable diets by showing how different foods compare in terms of environmental impact across the supply chain.,,0,1,,EcoInvent,,,,,Shamilah Nassozi,
50,,x,,Food Supply Chains,Food production systems & inputs,Food Supply Chains,Production systems and input supply,,Resilience,Resilience,Fishery production,,Measures total fishery production volume in the reporting period.,"This indicator captures local food supply strength and diversification, which are central to reducing vulnerability to disruptions.",tons,1,0,City,"GSO, HSO",,,,,,
52,,x,,Food Supply Chains,Food production systems & inputs,Food Supply Chains,Production systems and input supply,,Resilience,Resilience,Meat production,,Measures total meat production volume in the reporting period.,"This indicator captures local food supply strength and diversification, which are central to reducing vulnerability to disruptions.",tons,1,0,City,"GSO, HSO",,,,,,
55,,x,,Food Supply Chains,Food production systems & inputs,Food Supply Chains,Production systems and input supply,,Resilience,Resilience,Number of cows,,Measures livestock stock levels for the specified animal category in the reporting period.,"This indicator captures local food supply strength and diversification, which are central to reducing vulnerability to disruptions.",,1,0,City,"GSO, HSO",,,,,,
56,,x,,Food Supply Chains,Food production systems & inputs,Food Supply Chains,Production systems and input supply,,Resilience,Resilience,Number of pigs,,Measures livestock stock levels for the specified animal category in the reporting period.,"This indicator captures local food supply strength and diversification, which are central to reducing vulnerability to disruptions.",,1,0,City,"GSO, HSO",,,,,,
58,,x,,Food Supply Chains,Food production systems & inputs,Food Supply Chains,Production systems and input supply,,Resilience,Resilience,Number of poultry,,Measures livestock stock levels for the specified animal category in the reporting period.,"This indicator captures local food supply strength and diversification, which are central to reducing vulnerability to disruptions.",,1,0,City,"GSO, HSO",,,,,,
59,,x,,Food Supply Chains,Food production systems & inputs,Food Supply Chains,Production systems and input supply,,Resilience,Resilience,Paddy production,,Measures total paddy production volume in the reporting period.,"This indicator captures local food supply strength and diversification, which are central to reducing vulnerability to disruptions.",tons,1,0,City,"GSO, HSO",,,,,,
60,,x,,Food Supply Chains,"Food storage, loss, distribution & transport",Food Supply Chains,Storage and distribution,,Resilience,Resilience,Post-harvest lost rate,,Measures the proportion of food production lost after harvest and before final consumption.,"This indicator reflects food supply-chain infrastructure and performance, supporting analysis of system robustness and continuity under stress.",Percentage,1,0,City,HSO,,,,,,
67,,x,,Drivers,Income growth & distribution,Food Supply Chains,Production systems and input supply,,Resilience,Resilience,Diesel price,,"Measures the observed diesel price level, used as a proxy for transport and supply-chain operating costs.","This indicator reflects macroeconomic pressure and stability, which influence food affordability and broader system resilience.",VND,1,0,City,Petrolimex,,,,,,
68,,x,,Drivers,Income growth & distribution,Food Supply Chains,Production systems and input supply,,Resilience,Resilience,Diesel price change,,Measures year-on-year change in diesel prices as a proxy for transport and logistics cost pressure in the food system.,"This indicator reflects macroeconomic pressure and stability, which influence food affordability and broader system resilience.",Percentage,1,0,City,Petrolimex,,,,,,
,,,,,,Food Supply Chains,Production systems and input supply,,,,Cropland area ,,Maps distribution of cropland at national scale aggregated at commune level ,This data allows the user to filter to high production regions when analysising for vulnerabilities in the production landscape.,Hectares,1,0,National,ESRI,,2025,Annually,,Jemima O'Farrell,
,,,,,,Food Supply Chains,Production systems and input supply,,,,Distribution of irrigation infastructure ,,"Maps irrigation canals, draingage ditches and resevoirs nationally",This data enables the identification of areas lacking infastructure for agricultural intensificiation,,1,0,National,OSM,,2026,,,Jemima O'Farrell,
71,,,,Food Supply Chains,Food production systems & inputs,Food Supply Chains,Production systems and input supply,,"Environment, Natural Resources & Production",Food Flows & Supply Chains,Agricultural crop-type maps,In progress,Displays the spatial distribution of the production landscape for a range of staple crops in high-resolution maps,"This indicator captures the distribution of agricultural production for planning sustainable dietary transitions steered towards national production, reducing reliance of inported goods",km-squared,0,0,National,Internally produced,Under development,2020,,,Jemima O'Farrell,
9,x,,x,Individual Factors,Economic – income & purchasing power,Individual Factors,Economic,,"Diets, Nutrition & Health",Food Environments,Percent of household consumption spent on food and beverages (all households),,"Measures the percentage of total household expenditure allocated to food purchases, indicating the income share spent on food.","This indicator is a key measure of food affordability and household economic access to food. It reflects whether households must allocate disproportionate resources to food, constraining spending on other essential needs such as health, education, or housing.",Percentage (%),1,0,City,Vietnam Household Living Standards Survey (VHLSS) / General Statistics Office (GSO),Calculated as (Total food expenditure / Total household expenditure) Ã— 100,2010-2022,Every 2-4 years depending on survey cycle,Based on household survey data; may not capture informal sector spending or informal food transactions,Jemima O'Farrell,Available for Hanoi city and national scale
10,x,,x,Individual Factors,Economic – income & purchasing power,Individual Factors,Economic,,"Diets, Nutrition & Health",Food Environments,Percent of household income spent on food and beverages (all households),,"Measures the percentage of total household income allocated to food purchases, indicating the income share spent on food.","This indicator is a complementary measure of food affordability, capturing the share of income dedicated to food. It is particularly relevant for low-income households where food expenditure competes directly with other survival needs.",Percentage (%),1,0,City,Vietnam Household Living Standards Survey (VHLSS) / General Statistics Office (GSO),Calculated as (Total food expenditure / Total household income) Ã— 100,2010-2022,Every 2-4 years depending on survey cycle,Based on household survey data; may not capture informal sector spending or informal food transactions,Jemima O'Farrell,Available for Hanoi city and national scale
,,,x,Food Environments,Food accessibility – physical access & convenience,Individual Factors,Situational,,Governance,Food Environments,Active urban mobility,In progress,"Planned indicator covering active mobility conditions relevant to urban food access, such as walkability and other forms of non-motorized transport.",This indicator will help assess how urban form and mobility systems shape equitable access to food outlets and related services.,TBC,0,0,TBC,TBC,TBC,TBC,TBC,TBC,TBC,
